FileID	DatasetID
FILE_ID.00001178	DATASET.00000001
FILE_ID.00001179	DATASET.00000003
FILE_ID.00001182	DATASET.00000001
FILE_ID.00001183	DATASET.00000003
FILE_ID.00001186	DATASET.00000001
FILE_ID.00001187	DATASET.00000003
FILE_ID.00001190	DATASET.00000001
FILE_ID.00001191	DATASET.00000003
FILE_ID.00001194	DATASET.00000001
FILE_ID.00001195	DATASET.00000003
FILE_ID.00001198	DATASET.00000001
FILE_ID.00001199	DATASET.00000003
FILE_ID.00001202	DATASET.00000001
FILE_ID.00001203	DATASET.00000003
FILE_ID.00001206	DATASET.00000001
FILE_ID.00001207	DATASET.00000003
FILE_ID.00001210	DATASET.00000001
FILE_ID.00001211	DATASET.00000003
FILE_ID.00001214	DATASET.00000001
FILE_ID.00001215	DATASET.00000003
FILE_ID.00001218	DATASET.00000001
FILE_ID.00001219	DATASET.00000003
FILE_ID.00001222	DATASET.00000001
FILE_ID.00001223	DATASET.00000003
FILE_ID.00001226	DATASET.00000001
FILE_ID.00001227	DATASET.00000003
FILE_ID.00001230	DATASET.00000001
FILE_ID.00001231	DATASET.00000003
FILE_ID.00001234	DATASET.00000001
FILE_ID.00001235	DATASET.00000003
FILE_ID.00001238	DATASET.00000001
FILE_ID.00001239	DATASET.00000003
FILE_ID.00001242	DATASET.00000001
FILE_ID.00001243	DATASET.00000003
FILE_ID.00001246	DATASET.00000001
FILE_ID.00001247	DATASET.00000003
FILE_ID.00001250	DATASET.00000001
FILE_ID.00001251	DATASET.00000003
FILE_ID.00001254	DATASET.00000001
FILE_ID.00001255	DATASET.00000003
FILE_ID.00001258	DATASET.00000001
FILE_ID.00001259	DATASET.00000003
FILE_ID.00001262	DATASET.00000001
FILE_ID.00001263	DATASET.00000003
FILE_ID.00001266	DATASET.00000001
FILE_ID.00001267	DATASET.00000003
FILE_ID.00001270	DATASET.00000001
FILE_ID.00001271	DATASET.00000003
FILE_ID.00001274	DATASET.00000001
FILE_ID.00001275	DATASET.00000003
FILE_ID.00001278	DATASET.00000001
FILE_ID.00001279	DATASET.00000003
FILE_ID.00001282	DATASET.00000001
FILE_ID.00001283	DATASET.00000003
FILE_ID.00001286	DATASET.00000001
FILE_ID.00001287	DATASET.00000003
FILE_ID.00001290	DATASET.00000001
FILE_ID.00001291	DATASET.00000003
FILE_ID.00001294	DATASET.00000001
FILE_ID.00001295	DATASET.00000003
FILE_ID.00001298	DATASET.00000001
FILE_ID.00001299	DATASET.00000003
FILE_ID.00001302	DATASET.00000001
FILE_ID.00001303	DATASET.00000003
FILE_ID.00001306	DATASET.00000001
FILE_ID.00001307	DATASET.00000003
FILE_ID.00001310	DATASET.00000001
FILE_ID.00001311	DATASET.00000003
FILE_ID.00001314	DATASET.00000001
FILE_ID.00001315	DATASET.00000003
FILE_ID.00001318	DATASET.00000001
FILE_ID.00001319	DATASET.00000003
FILE_ID.00001322	DATASET.00000001
FILE_ID.00001323	DATASET.00000003
FILE_ID.00001326	DATASET.00000001
FILE_ID.00001327	DATASET.00000003
FILE_ID.00001330	DATASET.00000001
FILE_ID.00001331	DATASET.00000003
FILE_ID.00001334	DATASET.00000001
FILE_ID.00001335	DATASET.00000003
FILE_ID.00001338	DATASET.00000001
FILE_ID.00001339	DATASET.00000003
FILE_ID.00001342	DATASET.00000001
FILE_ID.00001343	DATASET.00000003
FILE_ID.00001346	DATASET.00000001
FILE_ID.00001347	DATASET.00000003
FILE_ID.00001350	DATASET.00000001
FILE_ID.00001351	DATASET.00000003
FILE_ID.00001354	DATASET.00000001
FILE_ID.00001355	DATASET.00000003
FILE_ID.00001358	DATASET.00000001
FILE_ID.00001359	DATASET.00000003
FILE_ID.00001362	DATASET.00000001
FILE_ID.00001363	DATASET.00000003
FILE_ID.00001366	DATASET.00000001
FILE_ID.00001367	DATASET.00000003
FILE_ID.00001370	DATASET.00000001
FILE_ID.00001371	DATASET.00000003
FILE_ID.00001374	DATASET.00000001
FILE_ID.00001375	DATASET.00000003
FILE_ID.00001378	DATASET.00000001
FILE_ID.00001379	DATASET.00000003
FILE_ID.00001382	DATASET.00000001
FILE_ID.00001383	DATASET.00000003
FILE_ID.00001386	DATASET.00000001
FILE_ID.00001387	DATASET.00000003
FILE_ID.00001390	DATASET.00000001
FILE_ID.00001391	DATASET.00000003
FILE_ID.00001394	DATASET.00000001
